(color=PURPLE, size=LARGE, act=STRETCH, age=CHILD)-
(color=PURPLE, size=LARGE, act=DIP, age=CHILD)-
(color=PURPLE, size=LARGE, act=STRETCH, age=CHILD)-
(color=PURPLE, size=SMALL, act=STRETCH, age=CHILD)-
(color=PURPLE, size=LARGE, act=DIP, age=ADULT)-
(color=PURPLE, size=SMALL, act=DIP, age=ADULT)-
(color=PURPLE, size=LARGE, act=STRETCH, age=ADULT)+
(color=YELLOW, size=LARGE, act=STRETCH, age=ADULT)+
(color=YELLOW, size=LARGE, act=STRETCH, age=ADULT)+
(color=YELLOW, size=SMALL, act=STRETCH, age=ADULT)+
(color=YELLOW, size=SMALL, act=STRETCH, age=CHILD)+
(color=YELLOW, size=SMALL, act=DIP, age=CHILD)+
(color=YELLOW, size=SMALL, act=STRETCH, age=CHILD)+
(color=YELLOW, size=SMALL, act=STRETCH, age=ADULT)+
(color=PURPLE, size=LARGE, act=DIP, age=CHILD)-
(color=PURPLE, size=LARGE, act=DIP, age=ADULT)-
(color=YELLOW, size=LARGE, act=DIP, age=CHILD)-
(color=YELLOW, size=LARGE, act=DIP, age=ADULT)-
