(buying=low, maint=vhigh, doors=3, persons=4, lug_boot=med, safety=low)-
(buying=med, maint=vhigh, doors=4, persons=more, lug_boot=med, safety=med)+
(buying=med, maint=med, doors=2, persons=more, lug_boot=med, safety=low)-
(buying=high, maint=low, doors=2, persons=4, lug_boot=med, safety=high)+
(buying=high, maint=vhigh, doors=2, persons=4, lug_boot=big, safety=high)-
(buying=low, maint=vhigh, doors=4, persons=4, lug_boot=big, safety=med)-
(buying=med, maint=low, doors=3, persons=2, lug_boot=big, safety=high)-
(buying=med, maint=vhigh, doors=4, persons=more, lug_boot=med, safety=high)+
(buying=low, maint=high, doors=4, persons=more, lug_boot=med, safety=med)-
(buying=high, maint=low, doors=2, persons=4, lug_boot=med, safety=low)-
(buying=med, maint=med, doors=3, persons=more, lug_boot=big, safety=med)+
(buying=high, maint=high, doors=4, persons=more, lug_boot=med, safety=high)-
(buying=high, maint=low, doors=3, persons=4, lug_boot=big, safety=med)+
(buying=med, maint=vhigh, doors=2, persons=more, lug_boot=big, safety=med)+
(buying=low, maint=vhigh, doors=4, persons=2, lug_boot=big, safety=low)-
(buying=med, maint=high, doors=3, persons=more, lug_boot=big, safety=low)-
(buying=med, maint=low, doors=3, persons=more, lug_boot=med, safety=low)-
(buying=high, maint=high, doors=3, persons=4, lug_boot=big, safety=high)-
(buying=med, maint=med, doors=2, persons=4, lug_boot=big, safety=low)-
(buying=low, maint=high, doors=2, persons=4, lug_boot=med, safety=high)-
(buying=low, maint=med, doors=2, persons=more, lug_boot=med, safety=high)-
(buying=med, maint=high, doors=3, persons=more, lug_boot=big, safety=high)-
(buying=low, maint=vhigh, doors=4, persons=2, lug_boot=big, safety=high)-
(buying=high, maint=low, doors=4, persons=2, lug_boot=med, safety=low)-
(buying=high, maint=low, doors=4, persons=more, lug_boot=med, safety=med)-
(buying=med, maint=vhigh, doors=2, persons=2, lug_boot=big, safety=low)-
(buying=med, maint=med, doors=3, persons=more, lug_boot=med, safety=med)-
(buying=high, maint=med, doors=4, persons=more, lug_boot=med, safety=low)-
(buying=low, maint=high, doors=4, persons=more, lug_boot=big, safety=med)+
(buying=med, maint=med, doors=3, persons=4, lug_boot=big, safety=high)+
(buying=med, maint=high, doors=2, persons=4, lug_boot=big, safety=high)-
(buying=high, maint=vhigh, doors=2, persons=4, lug_boot=med, safety=high)-
(buying=high, maint=med, doors=2, persons=more, lug_boot=big, safety=low)-
(buying=low, maint=med, doors=4, persons=more, lug_boot=big, safety=med)-
(buying=high, maint=med, doors=2, persons=4, lug_boot=big, safety=low)-
(buying=med, maint=low, doors=4, persons=more, lug_boot=big, safety=med)+
(buying=high, maint=high, doors=3, persons=4, lug_boot=big, safety=med)+
(buying=med, maint=med, doors=2, persons=4, lug_boot=med, safety=low)-
(buying=med, maint=high, doors=4, persons=4, lug_boot=med, safety=high)-
(buying=low, maint=vhigh, doors=3, persons=4, lug_boot=big, safety=med)+
(buying=low, maint=med, doors=4, persons=more, lug_boot=med, safety=high)+
(buying=low, maint=vhigh, doors=2, persons=more, lug_boot=big, safety=med)+
(buying=med, maint=low, doors=4, persons=2, lug_boot=big, safety=high)-
(buying=high, maint=med, doors=4, persons=more, lug_boot=big, safety=med)-
(buying=low, maint=vhigh, doors=2, persons=2, lug_boot=big, safety=high)-
