(Clump=1, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=1, BareNuc=10, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=2, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=8, UnifSize=10, UnifShape=3, MargAdh=2, SingEpiSize=6, BareNuc=4, BlandChrom=3, NormNucl=10, Mit=1)-
(Clump=6, UnifSize=6, UnifShape=6, MargAdh=9, SingEpiSize=6, BareNuc=7, BlandChrom=7, NormNucl=8, Mit=1)+
(Clump=7, UnifSize=6, UnifShape=9, MargAdh=2, SingEpiSize=10, BareNuc=6, BlandChrom=2, NormNucl=9, Mit=10)-
(Clump=5, UnifSize=10, UnifShape=10, MargAdh=10, SingEpiSize=10, BareNuc=2, BlandChrom=10, NormNucl=10, Mit=10)-
(Clump=5, UnifSize=4, UnifShape=3, MargAdh=1, SingEpiSize=2, BareNuc=3, BlandChrom=2, NormNucl=3, Mit=1)+
(Clump=6, UnifSize=10, UnifShape=10, MargAdh=10, SingEpiSize=4, BareNuc=10, BlandChrom=7, NormNucl=10, Mit=1)-
(Clump=10, UnifSize=4, UnifShape=4, MargAdh=10, SingEpiSize=2, BareNuc=10, BlandChrom=5, NormNucl=3, Mit=3)-
(Clump=6, UnifSize=1, UnifShape=1, MargAdh=3, SingEpiSize=2, BareNuc=1, BlandChrom=1, NormNucl=1, Mit=1)+
(Clump=7, UnifSize=3, UnifShape=4, MargAdh=4, SingEpiSize=3, BareNuc=3, BlandChrom=3, NormNucl=2, Mit=7)-
(Clump=7, UnifSize=2, UnifShape=4, MargAdh=1, SingEpiSize=3, BareNuc=4, BlandChrom=3, NormNucl=3, Mit=1)-
(Clump=6, UnifSize=6, UnifShape=6, MargAdh=9, SingEpiSize=6, BareNuc=2, BlandChrom=7, NormNucl=8, Mit=1)+
(Clump=10, UnifSize=10, UnifShape=10, MargAdh=4, SingEpiSize=8, BareNuc=1, BlandChrom=8, NormNucl=10, Mit=1)-
(Clump=10, UnifSize=10, UnifShape=10, MargAdh=8, SingEpiSize=6, BareNuc=1, BlandChrom=8, NormNucl=9, Mit=1)-
(Clump=3, UnifSize=1, UnifShape=3, MargAdh=1, SingEpiSize=2, BareNuc=9, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=5, UnifSize=3, UnifShape=3, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=3, UnifSize=1, UnifShape=1, MargAdh=3, SingEpiSize=1, BareNuc=1, BlandChrom=3, NormNucl=1, Mit=1)+
(Clump=10, UnifSize=8, UnifShape=7, MargAdh=4, SingEpiSize=3, BareNuc=10, BlandChrom=7, NormNucl=9, Mit=1)-
(Clump=10, UnifSize=5, UnifShape=6, MargAdh=10, SingEpiSize=6, BareNuc=10, BlandChrom=7, NormNucl=7, Mit=10)-
(Clump=5, UnifSize=4, UnifShape=3, MargAdh=1, SingEpiSize=2, BareNuc=4, BlandChrom=2, NormNucl=3, Mit=1)+
(Clump=1, UnifSize=1, UnifShape=1, MargAdh=3, SingEpiSize=2, BareNuc=3, BlandChrom=1, NormNucl=1, Mit=1)+
(Clump=3, UnifSize=5, UnifShape=8, MargAdh=1, SingEpiSize=2, BareNuc=3, BlandChrom=2, NormNucl=1, Mit=5)-
(Clump=8, UnifSize=10, UnifShape=10, MargAdh=10, SingEpiSize=10, BareNuc=5, BlandChrom=10, NormNucl=10, Mit=10)-
(Clump=1, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=1, BareNuc=6, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=10, UnifSize=3, UnifShape=5, MargAdh=1, SingEpiSize=10, BareNuc=5, BlandChrom=3, NormNucl=10, Mit=2)-
(Clump=5, UnifSize=10, UnifShape=10, MargAdh=10, SingEpiSize=4, BareNuc=10, BlandChrom=5, NormNucl=6, Mit=3)-
(Clump=1, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=2, BareNuc=6, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=2, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=1, BareNuc=1, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=3, UnifSize=2, UnifShape=2, MargAdh=3, SingEpiSize=2, BareNuc=3, BlandChrom=3, NormNucl=1, Mit=1)+
(Clump=4, UnifSize=8, UnifShape=6, MargAdh=4, SingEpiSize=3, BareNuc=4, BlandChrom=10, NormNucl=6, Mit=1)-
(Clump=5, UnifSize=1, UnifShape=3, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=2, NormNucl=1, Mit=1)+
(Clump=3, UnifSize=6, UnifShape=4, MargAdh=10, SingEpiSize=3, BareNuc=3, BlandChrom=3, NormNucl=4, Mit=1)-
(Clump=8, UnifSize=3, UnifShape=3, MargAdh=1, SingEpiSize=2, BareNuc=2, BlandChrom=3, NormNucl=2, Mit=1)+
(Clump=5, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=1, NormNucl=1, Mit=1)+
(Clump=7, UnifSize=8, UnifShape=8, MargAdh=9, SingEpiSize=6, BareNuc=3, BlandChrom=4, NormNucl=1, Mit=1)-
(Clump=2, UnifSize=8, UnifShape=8, MargAdh=5, SingEpiSize=6, BareNuc=2, BlandChrom=4, NormNucl=10, Mit=4)-
(Clump=10, UnifSize=8, UnifShape=10, MargAdh=1, SingEpiSize=3, BareNuc=10, BlandChrom=5, NormNucl=1, Mit=1)-
(Clump=2, UnifSize=8, UnifShape=8, MargAdh=9, SingEpiSize=6, BareNuc=3, BlandChrom=4, NormNucl=1, Mit=1)-
(Clump=3, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=3, NormNucl=2, Mit=1)+
(Clump=8, UnifSize=5, UnifShape=5, MargAdh=4, SingEpiSize=4, BareNuc=5, BlandChrom=4, NormNucl=3, Mit=3)-
(Clump=10, UnifSize=7, UnifShape=7, MargAdh=6, SingEpiSize=4, BareNuc=10, BlandChrom=4, NormNucl=1, Mit=2)-
(Clump=5, UnifSize=5, UnifShape=8, MargAdh=1, SingEpiSize=2, BareNuc=3, BlandChrom=2, NormNucl=1, Mit=5)-
(Clump=5, UnifSize=10, UnifShape=10, MargAdh=3, SingEpiSize=8, BareNuc=1, BlandChrom=5, NormNucl=10, Mit=3)-
(Clump=1, UnifSize=6, UnifShape=9, MargAdh=2, SingEpiSize=10, BareNuc=6, BlandChrom=2, NormNucl=9, Mit=10)-
(Clump=5, UnifSize=7, UnifShape=10, MargAdh=10, SingEpiSize=5, BareNuc=10, BlandChrom=10, NormNucl=10, Mit=1)-
(Clump=3, UnifSize=4, UnifShape=5, MargAdh=2, SingEpiSize=6, BareNuc=8, BlandChrom=4, NormNucl=1, Mit=1)-
(Clump=1, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=1, NormNucl=1, Mit=8)+
(Clump=6, UnifSize=5, UnifShape=5, MargAdh=8, SingEpiSize=4, BareNuc=10, BlandChrom=3, NormNucl=4, Mit=1)-
(Clump=7, UnifSize=5, UnifShape=8, MargAdh=1, SingEpiSize=2, BareNuc=3, BlandChrom=2, NormNucl=1, Mit=5)-
(Clump=5, UnifSize=3, UnifShape=3, MargAdh=4, SingEpiSize=2, BareNuc=4, BlandChrom=3, NormNucl=4, Mit=1)-
(Clump=7, UnifSize=2, UnifShape=4, MargAdh=1, SingEpiSize=6, BareNuc=10, BlandChrom=5, NormNucl=4, Mit=3)-
(Clump=2, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=2, BareNuc=1, BlandChrom=3, NormNucl=1, Mit=1)+
(Clump=5, UnifSize=4, UnifShape=6, MargAdh=8, SingEpiSize=4, BareNuc=1, BlandChrom=8, NormNucl=10, Mit=1)-
(Clump=5, UnifSize=2, UnifShape=2, MargAdh=2, SingEpiSize=2, BareNuc=1, BlandChrom=2, NormNucl=2, Mit=1)+
(Clump=10, UnifSize=10, UnifShape=10, MargAdh=1, SingEpiSize=10, BareNuc=8, BlandChrom=3, NormNucl=3, Mit=1)-
(Clump=1, UnifSize=1, UnifShape=1, MargAdh=1, SingEpiSize=1, BareNuc=2, BlandChrom=2, NormNucl=1, Mit=1)+
